state,city,site,site_name,params,params_query,params_ids,data_availability
Delhi,Delhi,site_5024,"Alipur, Delhi - DPCC",,,,
Delhi,Delhi,site_301,"Anand Vihar, Delhi - DPCC",,,,
Delhi,Delhi,site_1420,"Ashok Vihar, Delhi - DPCC",,,,
Delhi,Delhi,site_108,"Aya Nagar, New Delhi - IMD",,,,
Delhi,Delhi,site_1560,"Bawana, Delhi - DPCC",,,,
Delhi,Delhi,site_104,"Burari Crossing, New Delhi - IMD",,,,
Delhi,Delhi,site_5393,"Chandni Chowk, Delhi - IITM",,,,
Delhi,Delhi,site_103,"CRRI Mathura Road, New Delhi - IMD",,,,
Delhi,Delhi,site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",,,,
Delhi,Delhi,site_118,"DTU, New Delhi - CPCB",,,,
Delhi,Delhi,site_1422,"Dwarka-Sector 8, Delhi - DPCC",,,,
Delhi,Delhi,site_116,"East Arjun Nagar, Delhi - CPCB",,,,
Delhi,Delhi,site_106,"IGI Airport (T3), New Delhi - IMD",,,,
Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, New Delhi - CPCB",,,,
Delhi,Delhi,site_117,"ITO, New Delhi - CPCB",,,,
Delhi,Delhi,site_1423,"Jahangirpuri, Delhi - DPCC",,,,
Delhi,Delhi,site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",,,,
Delhi,Delhi,site_5395,"Lodhi Road, Delhi - IITM",,,,
Delhi,Delhi,site_109,"Lodhi Road, New Delhi - IMD",,,,
Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",,,,
Delhi,Delhi,site_122,"Mandir Marg, New Delhi - DPCC",,,,
Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",,,,
Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",,,,
Delhi,Delhi,site_1426,"Narela, Delhi - DPCC",,,,
Delhi,Delhi,site_1429,"Nehru Nagar, Delhi - DPCC",,,,
Delhi,Delhi,site_105,"North Campus, DU, New Delhi - IMD",,,,
Delhi,Delhi,site_115,"NSIT Dwarka, New Delhi - CPCB",,,,
Delhi,Delhi,site_1428,"Okhla Phase-2, Delhi - DPCC",,,,
Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",,,,
Delhi,Delhi,site_125,"Punjabi Bagh, Delhi - DPCC",,,,
Delhi,Delhi,site_1563,"Pusa, Delhi - DPCC",,,,
Delhi,Delhi,site_107,"Pusa, New Delhi - IMD",,,,
Delhi,Delhi,site_124,"R K Puram, New Delhi - DPCC",,,,
Delhi,Delhi,site_1430,"Rohini, Delhi - DPCC",,,,
Delhi,Delhi,site_113,"Shadipur, New Delhi - CPCB",,,,
Delhi,Delhi,site_119,"Sirifort, New Delhi - CPCB",,,,
Delhi,Delhi,site_1432,"Sonia Vihar, Delhi - DPCC",,,,
Delhi,Delhi,site_1562,"Sri Aurobindo Marg, Delhi - DPCC",,,,
Delhi,Delhi,site_1435,"Vivek Vihar, Delhi - DPCC",,,,
Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",,,,
Maharashtra,Mumbai,site_5392,"Bandra Kurla Complex, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_168,"Bandra, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5400,"Borivali East, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5399,"Chakala-Andheri East, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5120,"Colaba, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5396,"Deonar, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5412,"Kandivali East, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5397,"Khindipada-Bhandup West, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5104,"Kurla, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5394,"Mazgaon, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5413,"Mulund West, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5398,"Navy Nagar-Colaba, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5112,"Powai, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5403,"Siddharth Nagar-Worli, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5119,"Sion, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5102,"Vasai West, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5106,"Vile Parle West, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5115,"Worli, Mumbai - MPCB",,,,
Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",,,,
Tamil Nadu,Chennai,site_5361,"Arumbakkam, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_5365,"Kodungaiyur, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",,,,
Tamil Nadu,Chennai,site_5363,"Perungudi, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_288,"Velachery Res. Area, Chennai - CPCB",,,,
